Customer name,Address,Phone No.,Email Address,Room Type,Room Number,Days Stayed,Payment Type,Check-in Date,Check-in Month,Check-in Year
Rajesh Kumar,321 Pine St,1112223334,raj.kumar@email.com,Single,10,3,Cash,6,2,2024
Hardik garg,T-5/86,1234567890,hgarg7234@gmail.com,Suite,5,3,Credit Card,1,1,2024
test,Bunglow in Dessert,1234567890,testmail@gmail.com,Single,1,10,Cash,2,1,2024
Michael Brown,987 Birch St,2223334445,michael.brown@email.com,Suite,3,2,Debit Card,8,3,2024
Alex Chen,890 Spruce St,3334445556,alex.chen@email.com,Single,20,7,UPI,10,4,2024
Sarah Jones,567 Maple St,4445556668,sarah.jones@email.com,Suite,5,6,Credit Card,7,3,2024
John Smith,456 Elm St,5551234567,john.smith@email.com,Double,5,2,Debit Card,4,2,2024
Jessica Miller,432 Walnut St,6667778881,jessica.miller@email.com,Suite,4,4,Credit Card,11,4,2024
Samantha Lee,654 Cedar St,7778889992,samantha.lee@email.com,Double,3,1,Cash,9,3,2024
David Wilson,876 Fir St,8889990003,david.wilson@email.com,Single,6,2,Debit Card,12,4,2024Priya Patel,123 Main St,9876543210,priya.patel@email.com,Double,6,5,Credit Card,3,1,2024
Emily Johnson,789 Oak St,9998887776,emily.johnson@email.com,Suite,2,4,UPI,5,2,2024
